subtotal_amt,billing_period_start,created_at,currency,line_item_cnt,invoice_id,invoice_date,invoice_status,amount_paid,discount_amt,paid_dt,invoice_num,writeoff_flg,acct_id,subscription_id,billing_period_end,total_amt,amount_due,billing_freq_cd,due_dt,proration_flg,tax_amt
29.0,2023-10-17,2023-10-17,USD,0.0,1,2023-10-18,failed,0.0,,,INV-874339,True,,230,2023-11-16,,49.0,monthly,2021-11-03,,4.9
49.0,2022-08-16,2022-08-16,,3.0,2,2022-08-17,unpaid,0.0,0.0,,INV-746408,,AC063,448,2022-09-15,51.9,29.0,Y,2021-04-26,True,2.9
99.0,2020-09-18,2020-09-18,usd,0.0,3,2020-09-19,failed,,10.0,,INV-320271,True,AC075,308,2020-10-18,93.9,49.0,,2022-10-28,,4.9
,2023-03-10,2023-03-10,USD,1.0,4,2023-03-11,Paid,29.0,0.0,,INV-406771,True,AC112,49,2023-04-09,,29.0,annual,2024-02-14,False,9.9
99.0,2022-04-25,2022-04-25,,2.0,5,2022-04-26,failed,,10.0,2024-02-24,INV2165,False,AC025,97,2022-05-25,,,Y,,True,
,2021-06-05,2021-06-05,usd,1.0,6,2021-06-06,unpaid,29.0,10.0,2023-05-10,INV-722329,True,AC009,84,2021-07-05,29.0,29.0,Y,2020-02-14,,4.9
49.0,2024-05-29,2024-05-29,USD,1.0,7,2024-05-30,Paid,29.0,10.0,,INV-615693,False,AC056,187,2024-06-28,,,,2021-07-07,False,0.0
29.0,2024-11-30,2024-11-30,usd,3.0,8,2024-12-01,Paid,,10.0,,INV-308007,False,AC022,305,2024-12-30,19.0,99.0,M,2020-02-27,,0.0
49.0,2023-07-01,2023-07-01,EUR,1.0,9,2023-07-02,unpaid,49.0,10.0,2020-06-08,INV3003,True,AC137,272,2023-07-31,48.9,99.0,M,2021-12-28,,9.9
99.0,2020-06-09,2020-06-09,USD,2.0,10,2020-06-10,paid,0.0,5.0,2024-07-18,INV-472941,False,AC163,266,2020-07-09,29.0,29.0,M,2022-02-15,True,
49.0,2022-03-19,2022-03-19,usd,1.0,11,2022-03-20,Paid,49.0,,,INV-329986,False,AC078,120,2022-04-18,,29.0,Y,2020-08-05,False,4.9
,2023-11-17,2023-11-17,,0.0,12,2023-11-18,Paid,99.0,5.0,2021-09-06,INV-159325,,AC054,415,2023-12-17,,,Y,2023-12-17,False,2.9
,2024-07-05,2024-07-05,EUR,,13,2024-07-06,paid,49.0,5.0,2021-04-17,INV4235,,AC012,310,2024-08-04,,29.0,M,2020-08-17,False,
49.0,2021-01-25,2021-01-25,USD,,14,2021-01-26,unpaid,49.0,5.0,,INV-943481,True,AC113,115,2021-02-24,53.9,29.0,annual,,,9.9
,2022-09-12,2022-09-12,EUR,,15,2022-09-13,paid,0.0,0.0,2021-01-07,INV9683,True,AC150,149,2022-10-12,,49.0,M,,True,2.9
49.0,2021-09-08,2021-09-08,usd,0.0,16,2021-09-09,paid,0.0,20.0,,INV-139043,,AC137,475,2021-10-08,38.9,49.0,M,2022-06-29,False,9.9
49.0,2020-08-26,2020-08-26,usd,2.0,17,2020-08-27,Paid,0.0,,2021-07-01,INV-688188,True,AC088,171,2020-09-25,,49.0,,2020-12-19,,9.9
199.0,2020-02-10,2020-02-10,,3.0,18,2020-02-11,Paid,49.0,20.0,2022-05-06,INV-104807,False,AC105,461,2020-03-11,29.0,49.0,Y,2021-07-04,,0.0
29.0,2020-04-14,2020-04-14,usd,,19,2020-04-15,Paid,29.0,0.0,,INV-930152,,AC103,342,2020-05-14,38.9,29.0,annual,2021-08-23,,9.9
49.0,2024-10-03,2024-10-03,usd,,20,2024-10-04,Paid,29.0,5.0,2020-12-14,INV-795978,True,AC049,508,2024-11-02,,99.0,Y,2022-02-06,True,0.0
99.0,2022-09-22,2022-09-22,USD,0.0,21,2022-09-23,paid,49.0,5.0,,INV9371,False,AC055,526,2022-10-22,94.0,,,,,0.0
,2022-05-14,2022-05-14,usd,2.0,22,2022-05-15,Paid,99.0,,2023-05-18,INV-700338,True,AC017,324,2022-06-13,,29.0,Y,2020-10-11,False,0.0
,2020-08-27,2020-08-27,usd,3.0,23,2020-08-28,paid,0.0,10.0,2021-05-08,INV-856441,True,AC020,507,2020-09-26,,99.0,,2023-05-30,True,4.9
49.0,2020-11-26,2020-11-26,,3.0,24,2020-11-27,Paid,0.0,5.0,,INV-443265,False,AC012,295,2020-12-26,46.9,49.0,,2023-12-16,True,2.9
29.0,2021-04-20,2021-04-20,,3.0,25,2021-04-21,Paid,,,2024-10-31,INV-245174,,AC131,520,2021-05-20,,49.0,annual,2024-12-22,False,2.9
199.0,2020-09-25,2020-09-25,,,26,2020-09-26,Paid,0.0,20.0,2020-05-16,INV-492283,True,AC067,301,2020-10-25,,,,2022-07-27,,
199.0,2024-06-25,2024-06-25,USD,1.0,27,2024-06-26,Paid,99.0,10.0,2020-12-24,INV-558556,,AC004,166,2024-07-25,99.0,49.0,Y,2020-11-12,False,9.9
,2020-09-21,2020-09-21,usd,,28,2020-09-22,paid,49.0,20.0,2021-12-25,INV-307411,False,AC163,178,2020-10-21,,49.0,annual,2020-09-03,,2.9
49.0,2024-06-13,2024-06-13,EUR,,29,2024-06-14,unpaid,99.0,5.0,,INV1664,,AC011,426,2024-07-13,,,M,2024-06-28,True,
49.0,2023-02-14,2023-02-14,,1.0,30,2023-02-15,failed,99.0,10.0,2024-11-14,INV-452827,,AC180,49,2023-03-16,48.9,29.0,,2022-06-18,True,9.9
29.0,2023-10-18,2023-10-18,USD,2.0,31,2023-10-19,paid,,5.0,2021-12-13,INV-716631,True,AC057,163,2023-11-17,,49.0,M,2022-04-01,True,
,2021-11-22,2021-11-22,EUR,2.0,32,2021-11-23,paid,,5.0,,INV1003,,AC093,441,2021-12-22,,29.0,monthly,2024-05-17,True,0.0
49.0,2023-02-24,2023-02-24,,3.0,33,2023-02-25,failed,99.0,,2020-02-07,INV-650045,True,AC049,230,2023-03-26,,,M,2021-05-06,True,
,2024-04-24,2024-04-24,USD,2.0,34,2024-04-25,paid,49.0,,2020-09-10,INV-942391,True,AC112,48,2024-05-24,,99.0,,,True,4.9
,2022-06-15,2022-06-15,USD,0.0,35,2022-06-16,paid,29.0,0.0,,INV-799156,False,AC113,469,2022-07-15,,29.0,M,2021-03-21,False,2.9
49.0,2022-11-04,2022-11-04,EUR,3.0,36,2022-11-05,failed,29.0,10.0,,INV-266552,True,AC041,108,2022-12-04,29.0,49.0,M,2023-10-01,True,0.0
49.0,2020-11-17,2020-11-17,usd,,37,2020-11-18,paid,,10.0,,INV-702180,True,AC017,300,2020-12-17,39.0,,,2020-08-22,True,0.0
29.0,2020-11-11,2020-11-11,USD,0.0,38,2020-11-12,unpaid,49.0,,2020-01-21,INV-688998,True,AC104,373,2020-12-11,,99.0,Y,2023-06-22,False,2.9
29.0,2022-06-18,2022-06-18,usd,3.0,39,2022-06-19,failed,49.0,10.0,,INV-349284,,AC055,426,2022-07-18,99.0,29.0,annual,2024-01-15,False,0.0
