pmt_id,inv_id,acct_id,sub_id,pmt_amt,pmt_ccy,fx_rt,net_pmt_amt,fee_amt,pmt_method_cd,pmt_provider_cd,pmt_type_cd,retry_flg,attempt_nbr,pmt_ts,settle_dt,fail_dt,refund_dt,pmt_status_cd,reconciled_flg,manual_adj_flg,chargeback_flg,created_by_sys,last_upd_ts,notes_txt
PMT000001,INV00559,AC023,SUB00066,74.07,USD,,71.05999999999999,2.81,stripe_cc,stripe,refund,1,1,2024-10-16 00:00:00,2024-10-15,2024-10-18,,success,0.0,1,1,crm,2024-10-18 00:00:00,retry attempt
PMT000002,INV00748,AC118,SUB00776,175.26,USD,1.1318,170.95,2.89,card,stripe,reversal,0,3,2023-12-11 00:00:00,2023-12-10,2023-12-11,,pending,0.0,0,1,crm,2023-12-18 00:00:00,manual fix
PMT000003,INV00176,AC137,SUB00335,352.4,,1.1958,349.62,3.42,card,stripe,charge,1,4,2023-06-16 00:00:00,2023-06-19,,,success,0.0,1,0,manual,2023-06-23 00:00:00,customer dispute
PMT000004,INV00439,AC150,SUB00450,282.88,usd,0.8364,,0.55,bank,braintree,refund,0,4,2024-10-20 00:00:00,2024-10-25,2024-10-21,,pending,1.0,1,0,manual,2024-10-21 00:00:00,
PMT000005,INV00781,AC046,SUB00218,6.61,EUR,1.0031,,1.87,bank,braintree,reversal,0,3,2023-10-01 00:00:00,2023-10-04,2023-10-04,,pending,0.0,1,1,billing_sys,2023-10-01 00:00:00,retry attempt
PMT000006,INV00487,AC141,,0.0,,1.1716,485.65000000000003,3.56,stripe_cc,braintree,reversal,1,4,2024-08-03 00:00:00,2024-08-02,2024-08-06,,failed,1.0,0,0,billing_sys,2024-08-04 00:00:00,manual fix
PMT000007,INV00073,AC132,,118.33,,,,4.68,stripe_cc,stripe,refund,1,2,2023-01-22 00:00:00,,,2023-01-24,success,,1,1,crm,2023-01-28 00:00:00,customer dispute
PMT000008,INV00460,AC036,SUB00571,0.0,,,56.870000000000005,4.31,card,stripe,reversal,0,1,2023-02-25 00:00:00,2023-02-24,2023-02-27,,failed,0.0,0,1,crm,2023-03-04 00:00:00,retry attempt
PMT000009,INV00714,AC143,SUB00997,136.28,usd,,135.99,3.68,card,braintree,refund,0,1,2024-02-15 00:00:00,2024-02-13,2024-02-15,,reversed,,0,0,manual,2024-02-16 00:00:00,retry attempt
PMT000010,INV00041,AC159,,0.0,EUR,0.8817,63.150000000000006,1.98,paypal,adyen,refund,0,1,2023-03-12 00:00:00,2023-03-11,,,failed,,0,0,manual,2023-03-15 00:00:00,
