evt_id,acct_id,sub_id,usr_id,old_plan_cd,new_plan_cd,chg_type_cd,chg_reason_cd,req_channel_cd,old_mrr_amt,new_mrr_amt,mrr_delta_amt,proration_amt,evt_ts,eff_dt,proc_ts,evt_status_cd,rollback_flg,manual_override_flg,billing_impact_flg,src_sys_cd,notes_txt,last_upd_ts
EVT000001,AC094,SUB01040,,basic,,resume,price,api,,0.0,-15.05,,2023-11-28 00:00:00,2023-11-22,2023-12-02 00:00:00,success,1,0,0,billing,backdated change,2023-12-04 00:00:00
EVT000002,AC096,,USR00578,basic,pro,resume,unknown,support,0.0,0.0,-10.06,,2024-03-05 00:00:00,2024-02-28,2024-03-04 00:00:00,failed,0,1,1,crm,,2024-03-06 00:00:00
EVT000003,AC126,SUB00159,USR00587,enterprise,enterprise,cancel,unknown,sales,,,7.88,,2024-09-15 00:00:00,2024-09-07,2024-09-14 00:00:00,pending,1,1,1,support,support correction,2024-09-14 00:00:00
EVT000004,AC034,SUB00815,USR00893,,basic,downgrade,unknown,sales,191.06,39.45,-137.05,,2024-04-17 00:00:00,2024-04-18,2024-04-17 00:00:00,reversed,1,1,0,billing,,2024-04-18 00:00:00
EVT000005,AC038,SUB00757,USR00327,pro,basic,resume,unknown,sales,0.0,0.0,-17.51,,2023-06-04 00:00:00,2023-06-01,2023-06-05 00:00:00,failed,1,0,0,crm,,2023-06-05 00:00:00
EVT000006,AC054,SUB00305,USR00356,enterprise,,upgrade,price,sales,170.25,0.0,-186.81,,2023-01-01 00:00:00,2023-01-09,2023-01-01 00:00:00,pending,1,1,0,support,,2023-01-02 00:00:00
EVT000007,AC165,SUB00535,USR00172,enterprise,pro,cancel,feature,api,0.0,270.19,259.26,,2024-06-24 00:00:00,2024-06-25,2024-06-24 00:00:00,pending,0,0,1,crm,support correction,2024-06-25 00:00:00
EVT000008,AC021,SUB00465,USR00346,pro,,upgrade,unknown,support,246.4,,105.14,25.01,2024-09-11 00:00:00,2024-09-12,2024-09-16 00:00:00,reversed,0,1,1,billing,,2024-09-19 00:00:00
EVT000009,AC168,SUB00972,USR00359,pro,pro,upgrade,price,ui,0.0,29.09,43.96,-28.9,2024-02-16 00:00:00,2024-02-08,2024-02-16 00:00:00,pending,0,1,0,support,support correction,2024-02-18 00:00:00
EVT000010,AC129,SUB00311,USR00020,,pro,upgrade,feature,api,37.05,316.24,,,2024-07-11 00:00:00,2024-07-14,2024-07-11 00:00:00,reversed,0,0,0,billing,support correction,2024-07-11 00:00:00
EVT000011,AC178,SUB01041,USR00490,pro,enterprise,downgrade,unknown,api,0.0,0.0,6.85,,2023-04-11 00:00:00,2023-04-17,2023-04-16 00:00:00,failed,1,0,0,support,support correction,2023-04-17 00:00:00
EVT000012,AC042,SUB00459,,,,cancel,unknown,api,0.0,,144.94,,2023-09-17 00:00:00,2023-09-11,2023-09-22 00:00:00,success,1,1,1,support,,2023-09-22 00:00:00
EVT000013,AC070,SUB00865,USR00693,enterprise,,downgrade,unknown,support,,,-2.99,,2023-08-23 00:00:00,2023-08-16,2023-08-22 00:00:00,success,0,1,0,support,backdated change,2023-08-22 00:00:00
EVT000014,AC160,SUB01080,USR00113,pro,enterprise,upgrade,feature,api,23.23,325.8,290.8,,2023-09-28 00:00:00,2023-09-21,2023-10-03 00:00:00,failed,1,1,0,crm,,2023-10-03 00:00:00
EVT000015,AC169,SUB00886,USR00560,,enterprise,downgrade,feature,support,0.0,0.0,-14.41,48.19,2023-01-19 00:00:00,2023-01-25,2023-01-20 00:00:00,failed,0,0,1,crm,backdated change,2023-01-20 00:00:00
EVT000016,AC041,SUB00008,,enterprise,enterprise,downgrade,price,support,187.66,0.0,-204.3,,2023-03-28 00:00:00,2023-03-30,2023-03-30 00:00:00,failed,0,0,0,crm,,2023-03-31 00:00:00
EVT000017,AC022,SUB01084,USR00159,,enterprise,resume,feature,support,130.31,0.0,,39.19,2024-02-14 00:00:00,2024-02-22,2024-02-12 00:00:00,reversed,0,0,0,billing,,2024-02-12 00:00:00
EVT000018,AC161,,USR00251,,enterprise,upgrade,unknown,ui,288.66,0.0,-282.29,,2023-05-17 00:00:00,2023-05-27,2023-05-20 00:00:00,reversed,1,0,1,billing,backdated change,2023-05-21 00:00:00
EVT000019,AC012,SUB00407,,pro,enterprise,cancel,support,api,,,184.95,17.57,2024-10-27 00:00:00,2024-10-31,2024-11-01 00:00:00,pending,1,1,1,crm,,2024-11-05 00:00:00
EVT000020,AC130,SUB00921,USR00397,pro,pro,upgrade,price,api,0.0,0.0,4.13,-22.04,2023-07-24 00:00:00,2023-07-23,2023-07-23 00:00:00,success,1,0,1,crm,,2023-07-23 00:00:00
EVT000021,AC107,SUB00648,,enterprise,basic,cancel,support,sales,210.84,0.0,-194.78,,2023-06-12 00:00:00,2023-06-02,2023-06-17 00:00:00,pending,0,1,1,support,,2023-06-19 00:00:00
EVT000022,AC163,SUB00511,USR00447,enterprise,pro,cancel,unknown,ui,0.0,295.44,313.07,,2024-03-14 00:00:00,2024-03-12,2024-03-12 00:00:00,success,0,1,1,support,backdated change,2024-03-17 00:00:00
EVT000023,AC088,SUB00524,USR00669,enterprise,,downgrade,support,sales,0.0,76.35,,,2023-10-21 00:00:00,2023-10-26,2023-10-19 00:00:00,failed,1,0,1,crm,,2023-10-22 00:00:00
EVT000024,AC082,SUB00530,USR00207,basic,,resume,unknown,api,0.0,0.0,,,2023-05-23 00:00:00,2023-05-30,2023-05-24 00:00:00,pending,0,0,0,crm,backdated change,2023-05-27 00:00:00
EVT000025,AC033,,USR00824,,,upgrade,price,sales,140.91,0.0,-142.18,,2024-02-14 00:00:00,2024-02-24,2024-02-19 00:00:00,success,0,0,0,support,,2024-02-24 00:00:00
EVT000026,AC060,SUB00077,USR00312,pro,enterprise,resume,price,ui,,0.0,-4.48,,2024-10-24 00:00:00,2024-10-28,2024-10-23 00:00:00,success,0,1,1,crm,support correction,2024-10-28 00:00:00
