sub_id,acct_id,plan_id,plan_cd,usr_id,sub_start_dt,sub_end_dt,cancel_dt,trial_end_dt,sub_status_cd,auto_renew_flg,grace_period_flg,billable_flg,manual_override_flg,mrr_amt,currency_cd,billing_freq_cd,seat_qty,discount_pct,contract_term_mo,last_plan_chg_dt,orig_plan_cd,chg_cnt,linked_sub_id,created_sys_cd,created_ts,last_upd_ts,notes_txt
SUB000001,AC132,PLN0034,pro_2,USR00015,2021-06-18,,,,active,1,1,0,0,297.07,USD,M,5.0,0.0,,2022-07-01,starter_1,4,,crm,2021-06-18 00:00:00,2022-12-23 00:00:00,
SUB000002,AC117,PLN0047,enterprise_3,USR00155,2022-12-12,2023-10-25,2023-10-25,,active,0,0,1,0,0.0,USD,M,5.0,10.0,1.0,2023-02-12,starter_1,4,,billing,2022-12-12 00:00:00,2023-11-26 00:00:00,manual correction
SUB000003,AC099,PLN0054,basic_1,,2022-07-03,,,,canceled,1,0,1,0,105.62,USD,monthly,,10.0,24.0,2023-04-13,basic_1,1,,crm,2022-07-03 00:00:00,2023-06-08 00:00:00,legacy migration
SUB000004,AC041,PLN0044,growth_2,USR00248,2023-02-20,,,2023-02-27,active,1,0,0,1,236.45,USD,A,,,12.0,2024-06-13,basic_1,1,,crm,2023-02-20 00:00:00,2024-04-12 00:00:00,
SUB000005,AC044,PLN0022,pro_2,USR00764,2021-02-28,,,,canceled,1,0,1,0,0.0,USD,monthly,,,1.0,2022-06-30,basic_1,2,,crm,2021-02-28 00:00:00,2022-11-05 00:00:00,
SUB000006,AC003,PLN0009,basic_1,USR00334,2022-05-12,,,,trial,0,1,1,1,0.0,USD,M,5.0,10.0,1.0,2022-12-01,basic_1,1,SUB001831,billing,2022-05-12 00:00:00,2022-07-24 00:00:00,
SUB000007,AC047,PLN0025,pro_2,USR00564,2022-11-03,2023-07-12,2023-07-12,,canceled,0,0,0,1,0.0,USD,A,1.0,,12.0,2024-01-14,basic_1,2,,crm,2022-11-03 00:00:00,2024-12-05 00:00:00,
SUB000008,AC147,,growth_2,,2021-09-08,,,,canceled,1,1,1,0,248.02,USD,M,,20.0,12.0,2022-03-08,basic_1,2,,crm,2021-09-08 00:00:00,2021-12-27 00:00:00,
SUB000009,AC121,PLN0025,starter_1,,2022-10-30,2023-12-02,2023-12-02,,trial,0,0,1,0,198.72,USD,M,10.0,,,2023-06-20,basic_1,3,,crm,2022-10-30 00:00:00,2023-06-20 00:00:00,
SUB000010,AC063,PLN0032,starter_1,USR00392,2021-02-08,,,,active,0,0,1,0,237.16,USD,A,50.0,10.0,1.0,2021-11-18,basic_1,0,,crm,2021-02-08 00:00:00,2023-03-10 00:00:00,
SUB000011,AC067,,basic_1,USR00261,2021-04-21,,,,trial,0,0,0,1,0.0,USD,monthly,50.0,10.0,,2021-12-16,starter_1,3,,crm,2021-04-21 00:00:00,2023-03-07 00:00:00,manual correction
SUB000012,AC005,,growth_2,,2022-11-15,,,2022-11-22,active,1,1,0,0,114.92,USD,monthly,5.0,0.0,24.0,2023-02-20,starter_1,2,,crm,2022-11-15 00:00:00,2023-05-04 00:00:00,manual correction
SUB000013,AC104,PLN0016,pro_2,USR00844,2022-08-08,,,,active,1,0,0,0,102.96,USD,A,5.0,10.0,1.0,2023-04-19,starter_1,3,,crm,2022-08-08 00:00:00,2023-01-11 00:00:00,legacy migration
SUB000014,AC132,,pro_2,USR00361,2021-06-07,,,,active,0,0,0,1,0.0,USD,A,50.0,10.0,1.0,2021-07-30,basic_1,2,,crm,2021-06-07 00:00:00,2021-12-27 00:00:00,manual correction
SUB000015,AC091,PLN0041,pro_2,,2023-01-16,,,,active,1,1,1,0,0.0,USD,A,1.0,20.0,1.0,2023-05-07,basic_1,2,,crm,2023-01-16 00:00:00,2024-12-29 00:00:00,legacy migration
SUB000016,AC047,PLN0035,growth_2,USR00212,2021-01-12,,,,active,0,1,1,1,0.0,USD,M,5.0,,12.0,2021-07-11,starter_1,4,,billing,2021-01-12 00:00:00,2022-03-21 00:00:00,
SUB000017,AC032,PLN0043,starter_1,USR00476,2022-11-13,,,2022-12-13,trial,1,0,0,1,120.56,USD,M,50.0,,12.0,2023-07-21,starter_1,2,SUB001880,billing,2022-11-13 00:00:00,2022-12-19 00:00:00,legacy migration
SUB000018,AC009,,growth_2,USR00853,2022-08-24,,,2022-08-31,active,1,0,1,0,122.41,USD,monthly,,,1.0,2022-09-06,starter_1,1,,crm,2022-08-24 00:00:00,2023-08-21 00:00:00,
SUB000019,AC168,PLN0051,starter_1,USR00204,2022-07-31,,,,canceled,1,0,1,0,229.12,USD,monthly,5.0,10.0,24.0,2022-09-22,starter_1,5,,billing,2022-07-31 00:00:00,2022-12-15 00:00:00,
SUB000020,AC003,PLN0010,enterprise_3,,2023-03-01,,,,canceled,1,0,0,0,277.6,USD,monthly,5.0,,,2023-11-12,starter_1,3,,crm,2023-03-01 00:00:00,2023-07-25 00:00:00,legacy migration
