tckt_id,acct_ref,sub_ref,tckt_cat,prio_cd,tckt_stat,opened_ts,first_resp_ts,resolved_ts,assigned_agent,contact_channel,sla_hrs,csat_score,internal_note
TCK00001,AC164,,technical,high,resolved ,2024-01-18 00:00:00,2024-01-20 06:00:00,2024-01-21 18:00:00,John Miller,chat,,5.0,billing escalation
TCK00002,AC029,SUB00921,account,medium,reopened,2024-01-09 00:00:00,2024-01-09 03:00:00,2024-01-16 04:00:00,,chat,48.0,3.0,customer angry
TCK00003,AC007,SUB00465,technical,urgent,resolved ,2024-03-13 00:00:00,2024-03-14 06:00:00,2024-03-15 11:00:00,John Miller,EMAIL,4.0,3.0,
TCK00004,AC071,SUB00482,,medium,closed,2022-05-16 00:00:00,2022-05-19 00:00:00,2022-05-24 20:00:00,John Miller,email,,1.0,customer angry
TCK00005,AC063,SUB00631,other,high,resolved ,2022-09-26 00:00:00,2022-09-26 07:00:00,2022-09-30 13:00:00,,web,48.0,,
TCK00006,AC058,SUB01196,billing,high,open,2022-03-26 00:00:00,2022-03-28 20:00:00,2022-03-31 20:00:00,,chat,8.0,5.0,
TCK00007,AC036,SUB01120,,medium,open,2023-02-05 00:00:00,2023-02-05 08:00:00,2023-02-10 00:00:00,Marek Nowak,email,48.0,1.0,
TCK00008,AC027,SUB01977,,medium,open,2023-09-19 00:00:00,2023-09-20 15:00:00,2023-09-27 16:00:00,Anna Kowalska,,8.0,,customer angry
TCK00009,AC174,SUB00999,,high,pending,2022-06-17 00:00:00,2022-06-18 20:00:00,2022-06-27 05:00:00,Tom Wilson,chat,24.0,,customer angry
TCK00010,AC140,SUB00593,other,low,resolved,2024-02-29 00:00:00,2024-03-01 18:00:00,2024-03-04 16:00:00,John Miller,web,48.0,5.0,
TCK00011,AC023,SUB02456,technical,high,open,2022-02-26 00:00:00,2022-03-01 00:00:00,,John Miller,chat,,1.0,customer angry
TCK00012,AC152,SUB00560,account,urgent,pending,2024-05-29 00:00:00,2024-05-30 07:00:00,,Sarah Brown,email,,,
TCK00013,AC109,SUB01132,account,low,reopened,2022-08-18 00:00:00,2022-08-20 05:00:00,2022-08-23 15:00:00,Tom Wilson,email,,,customer angry
TCK00014,AC009,SUB01700,billing,urgent,resolved,2022-07-03 00:00:00,2022-07-05 18:00:00,2022-07-10 01:00:00,Emily Davis,phone,4.0,5.0,
TCK00015,AC008,SUB02080,,,pending,2022-01-09 00:00:00,2022-01-10 13:00:00,2022-01-13 19:00:00,,phone,,4.0,follow up needed
TCK00016,AC024,SUB00011,feature_request,low,pending,2024-01-21 00:00:00,2024-01-22 07:00:00,,,phone,4.0,3.0,customer angry
TCK00017,AC056,SUB01223,other,medium,closed,2024-02-17 00:00:00,2024-02-18 15:00:00,,,email,8.0,,
TCK00018,AC060,SUB02376,technical,,closed,2022-04-06 00:00:00,,,Tom Wilson,web,4.0,5.0,customer angry
TCK00019,AC130,SUB02006,other,low,closed,2023-06-02 00:00:00,2023-06-04 02:00:00,,Sarah Brown,chat,24.0,3.0,
TCK00020,AC155,SUB01830,technical,low,pending,2024-03-31 00:00:00,2024-04-01 17:00:00,2024-04-04 15:00:00,Sarah Brown,EMAIL,4.0,2.0,customer angry
TCK00021,AC007,SUB01414,account,medium,closed,2022-06-18 00:00:00,2022-06-19 16:00:00,2022-06-25 10:00:00,Emily Davis,web,24.0,1.0,customer angry
TCK00022,AC144,SUB02226,other,low,pending,2022-06-11 00:00:00,2022-06-12 14:00:00,2022-06-20 01:00:00,Tom Wilson,chat,4.0,,follow up needed
TCK00023,AC051,SUB01319,technical,low,closed,2022-12-31 00:00:00,2022-12-31 06:00:00,2023-01-03 01:00:00,,EMAIL,,2.0,customer angry
TCK00024,AC167,SUB00979,billing,medium,pending,2023-04-19 00:00:00,2023-04-19 17:00:00,,Marek Nowak,web,24.0,,customer angry
TCK00025,AC180,SUB00957,billing,medium,resolved ,2023-08-20 00:00:00,2023-08-20 09:00:00,,,chat,4.0,3.0,customer angry
TCK00026,AC140,SUB01683,other,urgent,resolved ,2022-02-13 00:00:00,2022-02-13 06:00:00,,A. Kowalska,web,4.0,4.0,
TCK00027,AC108,,technical,low,reopened,2022-06-26 00:00:00,2022-06-26 23:00:00,2022-07-01 18:00:00,Marek Nowak,,24.0,4.0,
TCK00028,AC057,SUB01562,feature_request,medium,resolved ,2023-07-18 00:00:00,2023-07-18 11:00:00,2023-07-19 23:00:00,,chat,,1.0,
TCK00029,AC115,SUB00624,account,,reopened,2024-03-11 00:00:00,2024-03-13 13:00:00,2024-03-18 18:00:00,Tom Wilson,web,24.0,2.0,customer angry
TCK00030,AC151,SUB00152,account,low,closed,2022-11-23 00:00:00,2022-11-23 03:00:00,2022-12-01 11:00:00,,phone,,2.0,follow up needed
TCK00031,AC072,,,low,pending,2022-04-13 00:00:00,2022-04-14 06:00:00,2022-04-22 23:00:00,A. Kowalska,phone,8.0,2.0,follow up needed
TCK00032,AC002,SUB01360,,high,reopened,2023-08-30 00:00:00,2023-08-31 21:00:00,2023-09-01 05:00:00,Sarah Brown,EMAIL,8.0,4.0,billing escalation
TCK00033,AC041,SUB01804,technical,,pending,2022-11-13 00:00:00,2022-11-13 04:00:00,,Anna Kowalska,EMAIL,48.0,1.0,
TCK00034,AC179,,account,low,open,2023-09-21 00:00:00,2023-09-21 16:00:00,2023-09-23 14:00:00,Sarah Brown,EMAIL,8.0,1.0,billing escalation
TCK00035,AC109,SUB00063,feature_request,,open,2024-05-31 00:00:00,2024-05-31 09:00:00,2024-06-07 11:00:00,Tom Wilson,phone,24.0,2.0,follow up needed
TCK00036,AC088,SUB01680,,,resolved ,2024-01-20 00:00:00,2024-01-22 14:00:00,2024-01-24 11:00:00,Tom Wilson,chat,,2.0,
TCK00037,AC072,SUB00633,,low,resolved ,2022-11-11 00:00:00,2022-11-12 13:00:00,,A. Kowalska,EMAIL,4.0,2.0,billing escalation
TCK00038,AC040,,feature_request,medium,resolved,2022-11-22 00:00:00,2022-11-23 04:00:00,2022-11-24 07:00:00,John Miller,chat,24.0,3.0,follow up needed
TCK00039,AC056,SUB01086,,high,closed,2023-10-14 00:00:00,2023-10-14 11:00:00,2023-10-21 15:00:00,Anna Kowalska,phone,8.0,2.0,customer angry
